ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
21,40.75442977,40.75290355,40.75137734,40.74985113,40.74832491,40.7467987,40.74527249,40.74374627,40.74222006,40.74069385,40.73916763,40.73764142,40.73611521,40.73458899,40.73306278
22,40.75646795,40.75494174,40.75341553,40.75188931,40.7503631,40.74883689,40.74731067,40.74578446,40.74425825,40.74273203,40.74120582,40.73967961,40.73815339,40.73662718,40.73510097
23,40.75850614,40.75697993,40.75545372,40.7539275,40.75240129,40.75087508,40.74934886,40.74782265,40.74629644,40.74477022,40.74324401,40.7417178,40.74019158,40.73866537,40.73713916
24,40.76054433,40.75901812,40.75749191,40.75596569,40.75443948,40.75291327,40.75138705,40.74986084,40.74833463,40.74680841,40.7452822,40.74375599,40.74222977,40.74070356,40.73917735
25,40.76258252,40.76105631,40.75953009,40.75800388,40.75647767,40.75495145,40.75342524,40.75189903,40.75037281,40.7488466,40.74732039,40.74579417,40.74426796,40.74274175,40.74121553
26,40.76462071,40.7630945,40.76156828,40.76004207,40.75851586,40.75698964,40.75546343,40.75393722,40.752411,40.75088479,40.74935858,40.74783236,40.74630615,40.74477994,40.74325372
27,40.7666589,40.76513269,40.76360647,40.76208026,40.76055405,40.75902783,40.75750162,40.75597541,40.75444919,40.75292298,40.75139677,40.74987055,40.74834434,40.74681813,40.74529191
28,40.76869709,40.76717087,40.76564466,40.76411845,40.76259223,40.76106602,40.75953981,40.75801359,40.75648738,40.75496117,40.75343495,40.75190874,40.75038253,40.74885631,40.7473301
29,40.77073528,40.76920906,40.76768285,40.76615664,40.76463042,40.76310421,40.761578,40.76005178,40.75852557,40.75699936,40.75547314,40.75394693,40.75242072,40.7508945,40.74936829
30,40.77277347,40.77124725,40.76972104,40.76819483,40.76666861,40.7651424,40.76361619,40.76208997,40.76056376,40.75903755,40.75751133,40.75598512,40.75445891,40.75293269,40.75140648
31,40.77481165,40.77328544,40.77175923,40.77023301,40.7687068,40.76718059,40.76565437,40.76412816,40.76260195,40.76107573,40.75954952,40.75802331,40.75649709,40.75497088,40.75344467
32,40.77684984,40.77532363,40.77379742,40.7722712,40.77074499,40.76921878,40.76769256,40.76616635,40.76464014,40.76311392,40.76158771,40.7600615,40.75853528,40.75700907,40.75548286
33,40.77888803,40.77736182,40.77583561,40.77430939,40.77278318,40.77125697,40.76973075,40.76820454,40.76667833,40.76515211,40.7636259,40.76209969,40.76057347,40.75904726,40.75752105
34,40.78092622,40.77940001,40.77787379,40.77634758,40.77482137,40.77329515,40.77176894,40.77024273,40.76871651,40.7671903,40.76566409,40.76413787,40.76261166,40.76108545,40.75955923
35,40.78296441,40.7814382,40.77991198,40.77838577,40.77685956,40.77533334,40.77380713,40.77228092,40.7707547,40.76922849,40.76770228,40.76617606,40.76464985,40.76312364,40.76159742
36,40.7850026,40.78347639,40.78195017,40.78042396,40.77889775,40.77737153,40.77584532,40.77431911,40.77279289,40.77126668,40.76974047,40.76821425,40.76668804,40.76516183,40.76363561
37,40.78704079,40.78551457,40.78398836,40.78246215,40.78093593,40.77940972,40.77788351,40.77635729,40.77483108,40.77330487,40.77177865,40.77025244,40.76872623,40.76720001,40.7656738
38,40.78907898,40.78755276,40.78602655,40.78450034,40.78297412,40.78144791,40.7799217,40.77839548,40.77686927,40.77534306,40.77381684,40.77229063,40.77076442,40.7692382,40.76771199
39,40.79111717,40.78959095,40.78806474,40.78653853,40.78501231,40.7834861,40.78195989,40.78043367,40.77890746,40.77738125,40.77585503,40.77432882,40.77280261,40.77127639,40.76975018
40,40.79315535,40.79162914,40.79010293,40.78857671,40.7870505,40.78552429,40.78399807,40.78247186,40.78094565,40.77941943,40.77789322,40.77636701,40.77484079,40.77331458,40.77178837
41,40.79519354,40.79366733,40.79214112,40.7906149,40.78908869,40.78756248,40.78603626,40.78451005,40.78298384,40.78145762,40.77993141,40.7784052,40.77687898,40.77535277,40.77382656
42,40.79723173,40.79570552,40.79417931,40.79265309,40.79112688,40.78960067,40.78807445,40.78654824,40.78502203,40.78349581,40.7819696,40.78044339,40.77891717,40.77739096,40.77586475
43,40.79926992,40.79774371,40.79621749,40.79469128,40.79316507,40.79163885,40.79011264,40.78858643,40.78706021,40.785534,40.78400779,40.78248157,40.78095536,40.77942915,40.77790293
44,40.80130811,40.7997819,40.79825568,40.79672947,40.79520326,40.79367704,40.79215083,40.79062462,40.7890984,40.78757219,40.78604598,40.78451976,40.78299355,40.78146734,40.77994112
45,40.8033463,40.80182009,40.80029387,40.79876766,40.79724145,40.79571523,40.79418902,40.79266281,40.79113659,40.78961038,40.78808417,40.78655795,40.78503174,40.78350553,40.78197931
46,40.80538449,40.80385827,40.80233206,40.80080585,40.79927963,40.79775342,40.79622721,40.79470099,40.79317478,40.79164857,40.79012235,40.78859614,40.78706993,40.78554371,40.7840175
47,40.80742268,40.80589646,40.80437025,40.80284404,40.80131782,40.79979161,40.7982654,40.79673918,40.79521297,40.79368676,40.79216054,40.79063433,40.78910812,40.7875819,40.78605569
48,40.80946087,40.80793465,40.80640844,40.80488223,40.80335601,40.8018298,40.80030359,40.79877737,40.79725116,40.79572495,40.79419873,40.79267252,40.79114631,40.78962009,40.78809388
49,40.81149905,40.80997284,40.80844663,40.80692041,40.8053942,40.80386799,40.80234177,40.80081556,40.79928935,40.79776313,40.79623692,40.79471071,40.79318449,40.79165828,40.79013207
50,40.81353724,40.81201103,40.81048482,40.8089586,40.80743239,40.80590618,40.80437996,40.80285375,40.80132754,40.79980132,40.79827511,40.7967489,40.79522268,40.79369647,40.79217026
51,40.81557543,40.81404922,40.81252301,40.81099679,40.80947058,40.80794437,40.80641815,40.80489194,40.80336573,40.80183951,40.8003133,40.79878709,40.79726087,40.79573466,40.79420845
52,40.81761362,40.81608741,40.81456119,40.81303498,40.81150877,40.80998255,40.80845634,40.80693013,40.80540391,40.8038777,40.80235149,40.80082527,40.79929906,40.79777285,40.79624663
53,40.81965181,40.8181256,40.81659938,40.81507317,40.81354696,40.81202074,40.81049453,40.80896832,40.8074421,40.80591589,40.80438968,40.80286346,40.80133725,40.79981104,40.79828482
54,40.82169,40.82016379,40.81863757,40.81711136,40.81558515,40.81405893,40.81253272,40.81100651,40.80948029,40.80795408,40.80642787,40.80490165,40.80337544,40.80184923,40.80032301
55,40.82372819,40.82220197,40.82067576,40.81914955,40.81762333,40.81609712,40.81457091,40.81304469,40.81151848,40.80999227,40.80846605,40.80693984,40.80541363,40.80388741,40.8023612
56,40.82576638,40.82424016,40.82271395,40.82118774,40.81966152,40.81813531,40.8166091,40.81508288,40.81355667,40.81203046,40.81050424,40.80897803,40.80745182,40.8059256,40.80439939
57,40.82780457,40.82627835,40.82475214,40.82322593,40.82169971,40.8201735,40.81864729,40.81712107,40.81559486,40.81406865,40.81254243,40.81101622,40.80949001,40.80796379,40.80643758
58,40.82984275,40.82831654,40.82679033,40.82526411,40.8237379,40.82221169,40.82068547,40.81915926,40.81763305,40.81610683,40.81458062,40.81305441,40.81152819,40.81000198,40.80847577
59,40.83188094,40.83035473,40.82882852,40.8273023,40.82577609,40.82424988,40.82272366,40.82119745,40.81967124,40.81814502,40.81661881,40.8150926,40.81356638,40.81204017,40.81051396
60,40.83391913,40.83239292,40.83086671,40.82934049,40.82781428,40.82628807,40.82476185,40.82323564,40.82170943,40.82018321,40.818657,40.81713079,40.81560457,40.81407836,40.81255215
61,40.83595732,40.83443111,40.83290489,40.83137868,40.82985247,40.82832625,40.82680004,40.82527383,40.82374761,40.8222214,40.82069519,40.81916897,40.81764276,40.81611655,40.81459033
62,40.83799551,40.8364693,40.83494308,40.83341687,40.83189066,40.83036444,40.82883823,40.82731202,40.8257858,40.82425959,40.82273338,40.82120716,40.81968095,40.81815474,40.81662852
63,40.8400337,40.83850749,40.83698127,40.83545506,40.83392885,40.83240263,40.83087642,40.82935021,40.82782399,40.82629778,40.82477157,40.82324535,40.82171914,40.82019293,40.81866671
64,40.84207189,40.84054567,40.83901946,40.83749325,40.83596703,40.83444082,40.83291461,40.83138839,40.82986218,40.82833597,40.82680975,40.82528354,40.82375733,40.82223111,40.8207049
65,40.84411008,40.84258386,40.84105765,40.83953144,40.83800522,40.83647901,40.8349528,40.83342658,40.83190037,40.83037416,40.82884794,40.82732173,40.82579552,40.8242693,40.82274309
66,40.84614827,40.84462205,40.84309584,40.84156963,40.84004341,40.8385172,40.83699099,40.83546477,40.83393856,40.83241235,40.83088613,40.82935992,40.82783371,40.82630749,40.82478128
67,40.84818645,40.84666024,40.84513403,40.84360781,40.8420816,40.84055539,40.83902917,40.83750296,40.83597675,40.83445053,40.83292432,40.83139811,40.82987189,40.82834568,40.82681947
68,40.85022464,40.84869843,40.84717222,40.845646,40.84411979,40.84259358,40.84106736,40.83954115,40.83801494,40.83648872,40.83496251,40.8334363,40.83191008,40.83038387,40.82885766
69,40.85226283,40.85073662,40.84921041,40.84768419,40.84615798,40.84463177,40.84310555,40.84157934,40.84005313,40.83852691,40.8370007,40.83547449,40.83394827,40.83242206,40.83089585
70,40.85430102,40.85277481,40.85124859,40.84972238,40.84819617,40.84666995,40.84514374,40.84361753,40.84209131,40.8405651,40.83903889,40.83751267,40.83598646,40.83446025,40.83293403
71,40.85633921,40.854813,40.85328678,40.85176057,40.85023436,40.84870814,40.84718193,40.84565572,40.8441295,40.84260329,40.84107708,40.83955086,40.83802465,40.83649844,40.83497222
72,40.8583774,40.85685119,40.85532497,40.85379876,40.85227255,40.85074633,40.84922012,40.84769391,40.84616769,40.84464148,40.84311527,40.84158905,40.84006284,40.83853663,40.83701041
73,40.86041559,40.85888937,40.85736316,40.85583695,40.85431073,40.85278452,40.85125831,40.84973209,40.84820588,40.84667967,40.84515345,40.84362724,40.84210103,40.84057481,40.8390486
74,40.86245378,40.86092756,40.85940135,40.85787514,40.85634892,40.85482271,40.8532965,40.85177028,40.85024407,40.84871786,40.84719164,40.84566543,40.84413922,40.842613,40.84108679
75,40.86449197,40.86296575,40.86143954,40.85991333,40.85838711,40.8568609,40.85533469,40.85380847,40.85228226,40.85075605,40.84922983,40.84770362,40.84617741,40.84465119,40.84312498
76,40.86653015,40.86500394,40.86347773,40.86195151,40.8604253,40.85889909,40.85737287,40.85584666,40.85432045,40.85279423,40.85126802,40.84974181,40.84821559,40.84668938,40.84516317
77,40.86856834,40.86704213,40.86551592,40.8639897,40.86246349,40.86093728,40.85941106,40.85788485,40.85635864,40.85483242,40.85330621,40.85178,40.85025378,40.84872757,40.84720136
78,40.87060653,40.86908032,40.86755411,40.86602789,40.86450168,40.86297547,40.86144925,40.85992304,40.85839683,40.85687061,40.8553444,40.85381819,40.85229197,40.85076576,40.84923955
79,40.87264472,40.87111851,40.86959229,40.86806608,40.86653987,40.86501365,40.86348744,40.86196123,40.86043501,40.8589088,40.85738259,40.85585637,40.85433016,40.85280395,40.85127773
80,40.87468291,40.8731567,40.87163048,40.87010427,40.86857806,40.86705184,40.86552563,40.86399942,40.8624732,40.86094699,40.85942078,40.85789456,40.85636835,40.85484214,40.85331592
81,40.8767211,40.87519489,40.87366867,40.87214246,40.87061625,40.86909003,40.86756382,40.86603761,40.86451139,40.86298518,40.86145897,40.85993275,40.85840654,40.85688033,40.85535411
82,40.87875929,40.87723307,40.87570686,40.87418065,40.87265443,40.87112822,40.86960201,40.86807579,40.86654958,40.86502337,40.86349715,40.86197094,40.86044473,40.85891851,40.8573923
