ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
54,73.9658595,73.96222987,73.95860023,73.9549706,73.95134097,73.94771133,73.9440817,73.94045207,73.93682243,73.9331928,73.92956317,73.92593353,73.9223039,73.91867427,73.91504463
55,73.96437533,73.9607457,73.95711607,73.95348643,73.9498568,73.94622717,73.94259753,73.9389679,73.93533827,73.93170863,73.928079,73.92444937,73.92081973,73.9171901,73.91356047
56,73.96289117,73.95926154,73.9556319,73.95200227,73.94837264,73.944743,73.94111337,73.93748374,73.9338541,73.93022447,73.92659484,73.9229652,73.91933557,73.91570594,73.9120763
57,73.96140701,73.95777737,73.95414774,73.95051811,73.94688847,73.94325884,73.93962921,73.93599957,73.93236994,73.92874031,73.92511067,73.92148104,73.91785141,73.91422177,73.91059214
58,73.95992284,73.95629321,73.95266358,73.94903394,73.94540431,73.94177468,73.93814504,73.93451541,73.93088578,73.92725614,73.92362651,73.91999688,73.91636724,73.91273761,73.90910798
59,73.95843868,73.95480904,73.95117941,73.94754978,73.94392014,73.94029051,73.93666088,73.93303124,73.92940161,73.92577198,73.92214234,73.91851271,73.91488308,73.91125344,73.90762381
60,73.95695451,73.95332488,73.94969525,73.94606561,73.94243598,73.93880635,73.93517671,73.93154708,73.92791745,73.92428781,73.92065818,73.91702855,73.91339891,73.90976928,73.90613965
61,73.95547035,73.95184072,73.94821108,73.94458145,73.94095182,73.93732218,73.93369255,73.93006292,73.92643328,73.92280365,73.91917402,73.91554438,73.91191475,73.90828512,73.90465548
62,73.95398619,73.95035655,73.94672692,73.94309729,73.93946765,73.93583802,73.93220839,73.92857875,73.92494912,73.92131949,73.91768985,73.91406022,73.91043059,73.90680095,73.90317132
63,73.95250202,73.94887239,73.94524275,73.94161312,73.93798349,73.93435385,73.93072422,73.92709459,73.92346495,73.91983532,73.91620569,73.91257605,73.90894642,73.90531679,73.90168715
64,73.95101786,73.94738822,73.94375859,73.94012896,73.93649932,73.93286969,73.92924006,73.92561042,73.92198079,73.91835116,73.91472152,73.91109189,73.90746226,73.90383262,73.90020299
65,73.94953369,73.94590406,73.94227443,73.93864479,73.93501516,73.93138553,73.92775589,73.92412626,73.92049663,73.91686699,73.91323736,73.90960773,73.90597809,73.90234846,73.89871883
66,73.94804953,73.9444199,73.94079026,73.93716063,73.933531,73.92990136,73.92627173,73.9226421,73.91901246,73.91538283,73.9117532,73.90812356,73.90449393,73.9008643,73.89723466
67,73.94656536,73.94293573,73.9393061,73.93567646,73.93204683,73.9284172,73.92478756,73.92115793,73.9175283,73.91389866,73.91026903,73.9066394,73.90300976,73.89938013,73.8957505
68,73.9450812,73.94145157,73.93782193,73.9341923,73.93056267,73.92693303,73.9233034,73.91967377,73.91604413,73.9124145,73.90878487,73.90515523,73.9015256,73.89789597,73.89426633
69,73.94359704,73.9399674,73.93633777,73.93270814,73.9290785,73.92544887,73.92181924,73.9181896,73.91455997,73.91093034,73.9073007,73.90367107,73.90004144,73.8964118,73.89278217
70,73.94211287,73.93848324,73.9348536,73.93122397,73.92759434,73.9239647,73.92033507,73.91670544,73.9130758,73.90944617,73.90581654,73.9021869,73.89855727,73.89492764,73.891298
71,73.94062871,73.93699907,73.93336944,73.92973981,73.92611017,73.92248054,73.91885091,73.91522127,73.91159164,73.90796201,73.90433237,73.90070274,73.89707311,73.89344347,73.88981384
72,73.93914454,73.93551491,73.93188528,73.92825564,73.92462601,73.92099638,73.91736674,73.91373711,73.91010748,73.90647784,73.90284821,73.89921858,73.89558894,73.89195931,73.88832968
73,73.93766038,73.93403075,73.93040111,73.92677148,73.92314185,73.91951221,73.91588258,73.91225295,73.90862331,73.90499368,73.90136405,73.89773441,73.89410478,73.89047515,73.88684551
74,73.93617621,73.93254658,73.92891695,73.92528731,73.92165768,73.91802805,73.91439841,73.91076878,73.90713915,73.90350951,73.89987988,73.89625025,73.89262061,73.88899098,73.88536135
75,73.93469205,73.93106242,73.92743278,73.92380315,73.92017352,73.91654388,73.91291425,73.90928462,73.90565498,73.90202535,73.89839572,73.89476608,73.89113645,73.88750682,73.88387718
76,73.93320789,73.92957825,73.92594862,73.92231899,73.91868935,73.91505972,73.91143009,73.90780045,73.90417082,73.90054119,73.89691155,73.89328192,73.88965229,73.88602265,73.88239302
77,73.93172372,73.92809409,73.92446446,73.92083482,73.91720519,73.91357556,73.90994592,73.90631629,73.90268666,73.89905702,73.89542739,73.89179776,73.88816812,73.88453849,73.88090886
78,73.93023956,73.92660992,73.92298029,73.91935066,73.91572102,73.91209139,73.90846176,73.90483212,73.90120249,73.89757286,73.89394322,73.89031359,73.88668396,73.88305432,73.87942469
79,73.92875539,73.92512576,73.92149613,73.91786649,73.91423686,73.91060723,73.90697759,73.90334796,73.89971833,73.89608869,73.89245906,73.88882943,73.88519979,73.88157016,73.87794053
80,73.92727123,73.9236416,73.92001196,73.91638233,73.9127527,73.90912306,73.90549343,73.9018638,73.89823416,73.89460453,73.8909749,73.88734526,73.88371563,73.880086,73.87645636
81,73.92578707,73.92215743,73.9185278,73.91489817,73.91126853,73.9076389,73.90400927,73.90037963,73.89675,73.89312037,73.88949073,73.8858611,73.88223147,73.87860183,73.8749722
82,73.9243029,73.92067327,73.91704363,73.913414,73.90978437,73.90615473,73.9025251,73.89889547,73.89526583,73.8916362,73.88800657,73.88437693,73.8807473,73.87711767,73.87348803
