ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC
11,73.93206982,73.92790656,73.92374329,73.91958003,73.91541676,73.9112535,73.90709023,73.90292697,73.8987637,73.89460043,73.89043717,73.8862739,73.88211064,73.87794737,73.87378411,73.86962084,73.86545758,73.86129431,73.85713105,73.85296778,73.84880451,73.84464125,73.84047798,73.83631472,73.83215145,73.82798819,73.82382492,73.81966166,73.81549839
12,73.93221228,73.92804901,73.92388575,73.91972248,73.91555922,73.91139595,73.90723268,73.90306942,73.89890615,73.89474289,73.89057962,73.88641636,73.88225309,73.87808983,73.87392656,73.86976329,73.86560003,73.86143676,73.8572735,73.85311023,73.84894697,73.8447837,73.84062044,73.83645717,73.83229391,73.82813064,73.82396737,73.81980411,73.81564084
13,73.93235473,73.92819146,73.9240282,73.91986493,73.91570167,73.9115384,73.90737514,73.90321187,73.89904861,73.89488534,73.89072208,73.88655881,73.88239554,73.87823228,73.87406901,73.86990575,73.86574248,73.86157922,73.85741595,73.85325269,73.84908942,73.84492615,73.84076289,73.83659962,73.83243636,73.82827309,73.82410983,73.81994656,73.8157833
14,73.93249718,73.92833392,73.92417065,73.92000739,73.91584412,73.91168086,73.90751759,73.90335432,73.89919106,73.89502779,73.89086453,73.88670126,73.882538,73.87837473,73.87421147,73.8700482,73.86588494,73.86172167,73.8575584,73.85339514,73.84923187,73.84506861,73.84090534,73.83674208,73.83257881,73.82841555,73.82425228,73.82008901,73.81592575
15,73.93263964,73.92847637,73.92431311,73.92014984,73.91598657,73.91182331,73.90766004,73.90349678,73.89933351,73.89517025,73.89100698,73.88684372,73.88268045,73.87851718,73.87435392,73.87019065,73.86602739,73.86186412,73.85770086,73.85353759,73.84937433,73.84521106,73.8410478,73.83688453,73.83272126,73.828558,73.82439473,73.82023147,73.8160682
16,73.93278209,73.92861882,73.92445556,73.92029229,73.91612903,73.91196576,73.9078025,73.90363923,73.89947597,73.8953127,73.89114943,73.88698617,73.8828229,73.87865964,73.87449637,73.87033311,73.86616984,73.86200658,73.85784331,73.85368004,73.84951678,73.84535351,73.84119025,73.83702698,73.83286372,73.82870045,73.82453719,73.82037392,73.81621066
17,73.93292454,73.92876128,73.92459801,73.92043475,73.91627148,73.91210822,73.90794495,73.90378168,73.89961842,73.89545515,73.89129189,73.88712862,73.88296536,73.87880209,73.87463883,73.87047556,73.86631229,73.86214903,73.85798576,73.8538225,73.84965923,73.84549597,73.8413327,73.83716944,73.83300617,73.8288429,73.82467964,73.82051637,73.81635311
18,73.933067,73.92890373,73.92474046,73.9205772,73.91641393,73.91225067,73.9080874,73.90392414,73.89976087,73.89559761,73.89143434,73.88727108,73.88310781,73.87894454,73.87478128,73.87061801,73.86645475,73.86229148,73.85812822,73.85396495,73.84980169,73.84563842,73.84147515,73.83731189,73.83314862,73.82898536,73.82482209,73.82065883,73.81649556
19,73.93320945,73.92904618,73.92488292,73.92071965,73.91655639,73.91239312,73.90822986,73.90406659,73.89990332,73.89574006,73.89157679,73.88741353,73.88325026,73.879087,73.87492373,73.87076047,73.8665972,73.86243394,73.85827067,73.8541074,73.84994414,73.84578087,73.84161761,73.83745434,73.83329108,73.82912781,73.82496455,73.82080128,73.81663801
20,73.9333519,73.92918864,73.92502537,73.92086211,73.91669884,73.91253557,73.90837231,73.90420904,73.90004578,73.89588251,73.89171925,73.88755598,73.88339272,73.87922945,73.87506618,73.87090292,73.86673965,73.86257639,73.85841312,73.85424986,73.85008659,73.84592333,73.84176006,73.8375968,73.83343353,73.82927026,73.825107,73.82094373,73.81678047
21,73.93349435,73.92933109,73.92516782,73.92100456,73.91684129,73.91267803,73.90851476,73.9043515,73.90018823,73.89602497,73.8918617,73.88769843,73.88353517,73.8793719,73.87520864,73.87104537,73.86688211,73.86271884,73.85855558,73.85439231,73.85022904,73.84606578,73.84190251,73.83773925,73.83357598,73.82941272,73.82524945,73.82108619,73.81692292
22,73.93363681,73.92947354,73.92531028,73.92114701,73.91698375,73.91282048,73.90865721,73.90449395,73.90033068,73.89616742,73.89200415,73.88784089,73.88367762,73.87951436,73.87535109,73.87118783,73.86702456,73.86286129,73.85869803,73.85453476,73.8503715,73.84620823,73.84204497,73.8378817,73.83371844,73.82955517,73.8253919,73.82122864,73.81706537
23,73.93377926,73.929616,73.92545273,73.92128946,73.9171262,73.91296293,73.90879967,73.9046364,73.90047314,73.89630987,73.89214661,73.88798334,73.88382007,73.87965681,73.87549354,73.87133028,73.86716701,73.86300375,73.85884048,73.85467722,73.85051395,73.84635069,73.84218742,73.83802415,73.83386089,73.82969762,73.82553436,73.82137109,73.81720783
24,73.93392171,73.92975845,73.92559518,73.92143192,73.91726865,73.91310539,73.90894212,73.90477886,73.90061559,73.89645232,73.89228906,73.88812579,73.88396253,73.87979926,73.875636,73.87147273,73.86730947,73.8631462,73.85898293,73.85481967,73.8506564,73.84649314,73.84232987,73.83816661,73.83400334,73.82984008,73.82567681,73.82151355,73.81735028
25,73.93406417,73.9299009,73.92573764,73.92157437,73.91741111,73.91324784,73.90908457,73.90492131,73.90075804,73.89659478,73.89243151,73.88826825,73.88410498,73.87994172,73.87577845,73.87161518,73.86745192,73.86328865,73.85912539,73.85496212,73.85079886,73.84663559,73.84247233,73.83830906,73.83414579,73.82998253,73.82581926,73.821656,73.81749273
26,73.93420662,73.93004335,73.92588009,73.92171682,73.91755356,73.91339029,73.90922703,73.90506376,73.9009005,73.89673723,73.89257397,73.8884107,73.88424743,73.88008417,73.8759209,73.87175764,73.86759437,73.86343111,73.85926784,73.85510458,73.85094131,73.84677804,73.84261478,73.83845151,73.83428825,73.83012498,73.82596172,73.82179845,73.81763519
27,73.93434907,73.93018581,73.92602254,73.92185928,73.91769601,73.91353275,73.90936948,73.90520621,73.90104295,73.89687968,73.89271642,73.88855315,73.88438989,73.88022662,73.87606336,73.87190009,73.86773683,73.86357356,73.85941029,73.85524703,73.85108376,73.8469205,73.84275723,73.83859397,73.8344307,73.83026744,73.82610417,73.8219409,73.81777764
28,73.93449153,73.93032826,73.926165,73.92200173,73.91783846,73.9136752,73.90951193,73.90534867,73.9011854,73.89702214,73.89285887,73.88869561,73.88453234,73.88036907,73.87620581,73.87204254,73.86787928,73.86371601,73.85955275,73.85538948,73.85122622,73.84706295,73.84289969,73.83873642,73.83457315,73.83040989,73.82624662,73.82208336,73.81792009
29,73.93463398,73.93047071,73.92630745,73.92214418,73.91798092,73.91381765,73.90965439,73.90549112,73.90132786,73.89716459,73.89300132,73.88883806,73.88467479,73.88051153,73.87634826,73.872185,73.86802173,73.86385847,73.8596952,73.85553193,73.85136867,73.8472054,73.84304214,73.83887887,73.83471561,73.83055234,73.82638908,73.82222581,73.81806255
30,73.93477643,73.93061317,73.9264499,73.92228664,73.91812337,73.9139601,73.90979684,73.90563357,73.90147031,73.89730704,73.89314378,73.88898051,73.88481725,73.88065398,73.87649072,73.87232745,73.86816418,73.86400092,73.85983765,73.85567439,73.85151112,73.84734786,73.84318459,73.83902133,73.83485806,73.83069479,73.82653153,73.82236826,73.818205
31,73.93491889,73.93075562,73.92659235,73.92242909,73.91826582,73.91410256,73.90993929,73.90577603,73.90161276,73.8974495,73.89328623,73.88912296,73.8849597,73.88079643,73.87663317,73.8724699,73.86830664,73.86414337,73.85998011,73.85581684,73.85165358,73.84749031,73.84332704,73.83916378,73.83500051,73.83083725,73.82667398,73.82251072,73.81834745
32,73.93506134,73.93089807,73.92673481,73.92257154,73.91840828,73.91424501,73.91008175,73.90591848,73.90175521,73.89759195,73.89342868,73.88926542,73.88510215,73.88093889,73.87677562,73.87261236,73.86844909,73.86428582,73.86012256,73.85595929,73.85179603,73.84763276,73.8434695,73.83930623,73.83514297,73.8309797,73.82681644,73.82265317,73.8184899
33,73.93520379,73.93104053,73.92687726,73.922714,73.91855073,73.91438746,73.9102242,73.90606093,73.90189767,73.8977344,73.89357114,73.88940787,73.88524461,73.88108134,73.87691807,73.87275481,73.86859154,73.86442828,73.86026501,73.85610175,73.85193848,73.84777522,73.84361195,73.83944868,73.83528542,73.83112215,73.82695889,73.82279562,73.81863236
34,73.93534624,73.93118298,73.92701971,73.92285645,73.91869318,73.91452992,73.91036665,73.90620339,73.90204012,73.89787686,73.89371359,73.88955032,73.88538706,73.88122379,73.87706053,73.87289726,73.868734,73.86457073,73.86040747,73.8562442,73.85208093,73.84791767,73.8437544,73.83959114,73.83542787,73.83126461,73.82710134,73.82293808,73.81877481
35,73.9354887,73.93132543,73.92716217,73.9229989,73.91883564,73.91467237,73.9105091,73.90634584,73.90218257,73.89801931,73.89385604,73.88969278,73.88552951,73.88136625,73.87720298,73.87303972,73.86887645,73.86471318,73.86054992,73.85638665,73.85222339,73.84806012,73.84389686,73.83973359,73.83557033,73.83140706,73.82724379,73.82308053,73.81891726
36,73.93563115,73.93146789,73.92730462,73.92314135,73.91897809,73.91481482,73.91065156,73.90648829,73.90232503,73.89816176,73.8939985,73.88983523,73.88567196,73.8815087,73.87734543,73.87318217,73.8690189,73.86485564,73.86069237,73.85652911,73.85236584,73.84820258,73.84403931,73.83987604,73.83571278,73.83154951,73.82738625,73.82322298,73.81905972
37,73.9357736,73.93161034,73.92744707,73.92328381,73.91912054,73.91495728,73.91079401,73.90663075,73.90246748,73.89830421,73.89414095,73.88997768,73.88581442,73.88165115,73.87748789,73.87332462,73.86916136,73.86499809,73.86083482,73.85667156,73.85250829,73.84834503,73.84418176,73.8400185,73.83585523,73.83169197,73.8275287,73.82336544,73.81920217
38,73.93591606,73.93175279,73.92758953,73.92342626,73.91926299,73.91509973,73.91093646,73.9067732,73.90260993,73.89844667,73.8942834,73.89012014,73.88595687,73.88179361,73.87763034,73.87346707,73.86930381,73.86514054,73.86097728,73.85681401,73.85265075,73.84848748,73.84432422,73.84016095,73.83599768,73.83183442,73.82767115,73.82350789,73.81934462
39,73.93605851,73.93189524,73.92773198,73.92356871,73.91940545,73.91524218,73.91107892,73.90691565,73.90275239,73.89858912,73.89442585,73.89026259,73.88609932,73.88193606,73.87777279,73.87360953,73.86944626,73.865283,73.86111973,73.85695647,73.8527932,73.84862993,73.84446667,73.8403034,73.83614014,73.83197687,73.82781361,73.82365034,73.81948708
40,73.93620096,73.9320377,73.92787443,73.92371117,73.9195479,73.91538464,73.91122137,73.9070581,73.90289484,73.89873157,73.89456831,73.89040504,73.88624178,73.88207851,73.87791525,73.87375198,73.86958871,73.86542545,73.86126218,73.85709892,73.85293565,73.84877239,73.84460912,73.84044586,73.83628259,73.83211933,73.82795606,73.82379279,73.81962953
41,73.93634342,73.93218015,73.92801689,73.92385362,73.91969035,73.91552709,73.91136382,73.90720056,73.90303729,73.89887403,73.89471076,73.8905475,73.88638423,73.88222096,73.8780577,73.87389443,73.86973117,73.8655679,73.86140464,73.85724137,73.85307811,73.84891484,73.84475157,73.84058831,73.83642504,73.83226178,73.82809851,73.82393525,73.81977198
42,73.93648587,73.9323226,73.92815934,73.92399607,73.91983281,73.91566954,73.91150628,73.90734301,73.90317975,73.89901648,73.89485321,73.89068995,73.88652668,73.88236342,73.87820015,73.87403689,73.86987362,73.86571036,73.86154709,73.85738382,73.85322056,73.84905729,73.84489403,73.84073076,73.8365675,73.83240423,73.82824097,73.8240777,73.81991443
43,73.93662832,73.93246506,73.92830179,73.92413853,73.91997526,73.91581199,73.91164873,73.90748546,73.9033222,73.89915893,73.89499567,73.8908324,73.88666914,73.88250587,73.87834261,73.87417934,73.87001607,73.86585281,73.86168954,73.85752628,73.85336301,73.84919975,73.84503648,73.84087322,73.83670995,73.83254668,73.82838342,73.82422015,73.82005689
44,73.93677078,73.93260751,73.92844424,73.92428098,73.92011771,73.91595445,73.91179118,73.90762792,73.90346465,73.89930139,73.89513812,73.89097485,73.88681159,73.88264832,73.87848506,73.87432179,73.87015853,73.86599526,73.861832,73.85766873,73.85350547,73.8493422,73.84517893,73.84101567,73.8368524,73.83268914,73.82852587,73.82436261,73.82019934
45,73.93691323,73.93274996,73.9285867,73.92442343,73.92026017,73.9160969,73.91193364,73.90777037,73.9036071,73.89944384,73.89528057,73.89111731,73.88695404,73.88279078,73.87862751,73.87446425,73.87030098,73.86613771,73.86197445,73.85781118,73.85364792,73.84948465,73.84532139,73.84115812,73.83699486,73.83283159,73.82866833,73.82450506,73.82034179
46,73.93705568,73.93289242,73.92872915,73.92456588,73.92040262,73.91623935,73.91207609,73.90791282,73.90374956,73.89958629,73.89542303,73.89125976,73.8870965,73.88293323,73.87876996,73.8746067,73.87044343,73.86628017,73.8621169,73.85795364,73.85379037,73.84962711,73.84546384,73.84130057,73.83713731,73.83297404,73.82881078,73.82464751,73.82048425
47,73.93719813,73.93303487,73.9288716,73.92470834,73.92054507,73.91638181,73.91221854,73.90805528,73.90389201,73.89972874,73.89556548,73.89140221,73.88723895,73.88307568,73.87891242,73.87474915,73.87058589,73.86642262,73.86225936,73.85809609,73.85393282,73.84976956,73.84560629,73.84144303,73.83727976,73.8331165,73.82895323,73.82478997,73.8206267
48,73.93734059,73.93317732,73.92901406,73.92485079,73.92068753,73.91652426,73.91236099,73.90819773,73.90403446,73.8998712,73.89570793,73.89154467,73.8873814,73.88321814,73.87905487,73.8748916,73.87072834,73.86656507,73.86240181,73.85823854,73.85407528,73.84991201,73.84574875,73.84158548,73.83742222,73.83325895,73.82909568,73.82493242,73.82076915
49,73.93748304,73.93331978,73.92915651,73.92499324,73.92082998,73.91666671,73.91250345,73.90834018,73.90417692,73.90001365,73.89585039,73.89168712,73.88752385,73.88336059,73.87919732,73.87503406,73.87087079,73.86670753,73.86254426,73.858381,73.85421773,73.85005446,73.8458912,73.84172793,73.83756467,73.8334014,73.82923814,73.82507487,73.82091161
