ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ
11,74.0350106,74.03006848,74.02512636,74.02018424,74.01524212,74.0103,74.00535789,74.00041577,73.99547365,73.99053153,73.98558941,73.98064729,73.97570517,73.97076305,73.96582094,73.96087882,73.9559367,73.95099458,73.94605246,73.94111034,73.93616822,73.9312261,73.92628398,73.92134187,73.91639975,73.91145763,73.90651551,73.90157339,73.89663127,73.89168915,73.88674703,73.88180492,73.8768628,73.87192068,73.86697856,73.86203644,73.85709432,73.8521522,73.84721008,73.84226796,73.83732585,73.83238373,73.82744161,73.82249949,73.81755737,73.81261525,73.80767313,73.80273101,73.79778889,73.79284678,73.78790466,73.78296254,73.77802042,73.7730783,73.76813618,73.76319406,73.75825194,73.75330983,73.74836771,73.74342559,73.73848347,73.73354135,73.72859923,73.72365711,73.71871499,73.71377287,73.70883076,73.70388864,73.69894652
12,74.0355444,74.03060228,74.02566016,74.02071804,74.01577592,74.0108338,74.00589168,74.00094956,73.99600744,73.99106533,73.98612321,73.98118109,73.97623897,73.97129685,73.96635473,73.96141261,73.95647049,73.95152837,73.94658626,73.94164414,73.93670202,73.9317599,73.92681778,73.92187566,73.91693354,73.91199142,73.90704931,73.90210719,73.89716507,73.89222295,73.88728083,73.88233871,73.87739659,73.87245447,73.86751235,73.86257024,73.85762812,73.852686,73.84774388,73.84280176,73.83785964,73.83291752,73.8279754,73.82303329,73.81809117,73.81314905,73.80820693,73.80326481,73.79832269,73.79338057,73.78843845,73.78349633,73.77855422,73.7736121,73.76866998,73.76372786,73.75878574,73.75384362,73.7489015,73.74395938,73.73901726,73.73407515,73.72913303,73.72419091,73.71924879,73.71430667,73.70936455,73.70442243,73.69948031
13,74.03607819,74.03113607,74.02619395,74.02125183,74.01630972,74.0113676,74.00642548,74.00148336,73.99654124,73.99159912,73.986657,73.98171488,73.97677277,73.97183065,73.96688853,73.96194641,73.95700429,73.95206217,73.94712005,73.94217793,73.93723581,73.9322937,73.92735158,73.92240946,73.91746734,73.91252522,73.9075831,73.90264098,73.89769886,73.89275674,73.88781463,73.88287251,73.87793039,73.87298827,73.86804615,73.86310403,73.85816191,73.85321979,73.84827768,73.84333556,73.83839344,73.83345132,73.8285092,73.82356708,73.81862496,73.81368284,73.80874072,73.80379861,73.79885649,73.79391437,73.78897225,73.78403013,73.77908801,73.77414589,73.76920377,73.76426166,73.75931954,73.75437742,73.7494353,73.74449318,73.73955106,73.73460894,73.72966682,73.7247247,73.71978259,73.71484047,73.70989835,73.70495623,73.70001411
14,74.03661199,74.03166987,74.02672775,74.02178563,74.01684351,74.01190139,74.00695927,74.00201716,73.99707504,73.99213292,73.9871908,73.98224868,73.97730656,73.97236444,73.96742232,73.9624802,73.95753809,73.95259597,73.94765385,73.94271173,73.93776961,73.93282749,73.92788537,73.92294325,73.91800114,73.91305902,73.9081169,73.90317478,73.89823266,73.89329054,73.88834842,73.8834063,73.87846418,73.87352207,73.86857995,73.86363783,73.85869571,73.85375359,73.84881147,73.84386935,73.83892723,73.83398511,73.829043,73.82410088,73.81915876,73.81421664,73.80927452,73.8043324,73.79939028,73.79444816,73.78950605,73.78456393,73.77962181,73.77467969,73.76973757,73.76479545,73.75985333,73.75491121,73.74996909,73.74502698,73.74008486,73.73514274,73.73020062,73.7252585,73.72031638,73.71537426,73.71043214,73.70549002,73.70054791
15,74.03714578,74.03220366,74.02726155,74.02231943,74.01737731,74.01243519,74.00749307,74.00255095,73.99760883,73.99266671,73.98772459,73.98278248,73.97784036,73.97289824,73.96795612,73.963014,73.95807188,73.95312976,73.94818764,73.94324553,73.93830341,73.93336129,73.92841917,73.92347705,73.91853493,73.91359281,73.90865069,73.90370857,73.89876646,73.89382434,73.88888222,73.8839401,73.87899798,73.87405586,73.86911374,73.86417162,73.85922951,73.85428739,73.84934527,73.84440315,73.83946103,73.83451891,73.82957679,73.82463467,73.81969255,73.81475044,73.80980832,73.8048662,73.79992408,73.79498196,73.79003984,73.78509772,73.7801556,73.77521348,73.77027137,73.76532925,73.76038713,73.75544501,73.75050289,73.74556077,73.74061865,73.73567653,73.73073442,73.7257923,73.72085018,73.71590806,73.71096594,73.70602382,73.7010817
16,74.03767958,74.03273746,74.02779534,74.02285322,74.0179111,74.01296899,74.00802687,74.00308475,73.99814263,73.99320051,73.98825839,73.98331627,73.97837415,73.97343203,73.96848992,73.9635478,73.95860568,73.95366356,73.94872144,73.94377932,73.9388372,73.93389508,73.92895296,73.92401085,73.91906873,73.91412661,73.90918449,73.90424237,73.89930025,73.89435813,73.88941601,73.8844739,73.87953178,73.87458966,73.86964754,73.86470542,73.8597633,73.85482118,73.84987906,73.84493694,73.83999483,73.83505271,73.83011059,73.82516847,73.82022635,73.81528423,73.81034211,73.80539999,73.80045788,73.79551576,73.79057364,73.78563152,73.7806894,73.77574728,73.77080516,73.76586304,73.76092092,73.75597881,73.75103669,73.74609457,73.74115245,73.73621033,73.73126821,73.72632609,73.72138397,73.71644185,73.71149974,73.70655762,73.7016155
17,74.03821338,74.03327126,74.02832914,74.02338702,74.0184449,74.01350278,74.00856066,74.00361854,73.99867642,73.99373431,73.98879219,73.98385007,73.97890795,73.97396583,73.96902371,73.96408159,73.95913947,73.95419736,73.94925524,73.94431312,73.939371,73.93442888,73.92948676,73.92454464,73.91960252,73.9146604,73.90971829,73.90477617,73.89983405,73.89489193,73.88994981,73.88500769,73.88006557,73.87512345,73.87018133,73.86523922,73.8602971,73.85535498,73.85041286,73.84547074,73.84052862,73.8355865,73.83064438,73.82570227,73.82076015,73.81581803,73.81087591,73.80593379,73.80099167,73.79604955,73.79110743,73.78616531,73.7812232,73.77628108,73.77133896,73.76639684,73.76145472,73.7565126,73.75157048,73.74662836,73.74168625,73.73674413,73.73180201,73.72685989,73.72191777,73.71697565,73.71203353,73.70709141,73.70214929
18,74.03874717,74.03380505,74.02886293,74.02392081,74.0189787,74.01403658,74.00909446,74.00415234,73.99921022,73.9942681,73.98932598,73.98438386,73.97944175,73.97449963,73.96955751,73.96461539,73.95967327,73.95473115,73.94978903,73.94484691,73.93990479,73.93496268,73.93002056,73.92507844,73.92013632,73.9151942,73.91025208,73.90530996,73.90036784,73.89542573,73.89048361,73.88554149,73.88059937,73.87565725,73.87071513,73.86577301,73.86083089,73.85588877,73.85094666,73.84600454,73.84106242,73.8361203,73.83117818,73.82623606,73.82129394,73.81635182,73.8114097,73.80646759,73.80152547,73.79658335,73.79164123,73.78669911,73.78175699,73.77681487,73.77187275,73.76693064,73.76198852,73.7570464,73.75210428,73.74716216,73.74222004,73.73727792,73.7323358,73.72739368,73.72245157,73.71750945,73.71256733,73.70762521,73.70268309
19,74.03928097,74.03433885,74.02939673,74.02445461,74.01951249,74.01457037,74.00962825,74.00468614,73.99974402,73.9948019,73.98985978,73.98491766,73.97997554,73.97503342,73.9700913,73.96514918,73.96020707,73.95526495,73.95032283,73.94538071,73.94043859,73.93549647,73.93055435,73.92561223,73.92067012,73.915728,73.91078588,73.90584376,73.90090164,73.89595952,73.8910174,73.88607528,73.88113316,73.87619105,73.87124893,73.86630681,73.86136469,73.85642257,73.85148045,73.84653833,73.84159621,73.8366541,73.83171198,73.82676986,73.82182774,73.81688562,73.8119435,73.80700138,73.80205926,73.79711714,73.79217503,73.78723291,73.78229079,73.77734867,73.77240655,73.76746443,73.76252231,73.75758019,73.75263807,73.74769596,73.74275384,73.73781172,73.7328696,73.72792748,73.72298536,73.71804324,73.71310112,73.70815901,73.70321689
20,74.03981476,74.03487264,74.02993053,74.02498841,74.02004629,74.01510417,74.01016205,74.00521993,74.00027781,73.99533569,73.99039358,73.98545146,73.98050934,73.97556722,73.9706251,73.96568298,73.96074086,73.95579874,73.95085662,73.94591451,73.94097239,73.93603027,73.93108815,73.92614603,73.92120391,73.91626179,73.91131967,73.90637755,73.90143544,73.89649332,73.8915512,73.88660908,73.88166696,73.87672484,73.87178272,73.8668406,73.86189849,73.85695637,73.85201425,73.84707213,73.84213001,73.83718789,73.83224577,73.82730365,73.82236153,73.81741942,73.8124773,73.80753518,73.80259306,73.79765094,73.79270882,73.7877667,73.78282458,73.77788247,73.77294035,73.76799823,73.76305611,73.75811399,73.75317187,73.74822975,73.74328763,73.73834551,73.7334034,73.72846128,73.72351916,73.71857704,73.71363492,73.7086928,73.70375068
21,74.04034856,74.03540644,74.03046432,74.0255222,74.02058008,74.01563797,74.01069585,74.00575373,74.00081161,73.99586949,73.99092737,73.98598525,73.98104313,73.97610101,73.9711589,73.96621678,73.96127466,73.95633254,73.95139042,73.9464483,73.94150618,73.93656406,73.93162195,73.92667983,73.92173771,73.91679559,73.91185347,73.90691135,73.90196923,73.89702711,73.89208499,73.88714288,73.88220076,73.87725864,73.87231652,73.8673744,73.86243228,73.85749016,73.85254804,73.84760592,73.84266381,73.83772169,73.83277957,73.82783745,73.82289533,73.81795321,73.81301109,73.80806897,73.80312686,73.79818474,73.79324262,73.7883005,73.78335838,73.77841626,73.77347414,73.76853202,73.7635899,73.75864779,73.75370567,73.74876355,73.74382143,73.73887931,73.73393719,73.72899507,73.72405295,73.71911084,73.71416872,73.7092266,73.70428448
22,74.04088236,74.03594024,74.03099812,74.026056,74.02111388,74.01617176,74.01122964,74.00628752,74.0013454,73.99640329,73.99146117,73.98651905,73.98157693,73.97663481,73.97169269,73.96675057,73.96180845,73.95686634,73.95192422,73.9469821,73.94203998,73.93709786,73.93215574,73.92721362,73.9222715,73.91732938,73.91238727,73.90744515,73.90250303,73.89756091,73.89261879,73.88767667,73.88273455,73.87779243,73.87285032,73.8679082,73.86296608,73.85802396,73.85308184,73.84813972,73.8431976,73.83825548,73.83331336,73.82837125,73.82342913,73.81848701,73.81354489,73.80860277,73.80366065,73.79871853,73.79377641,73.78883429,73.78389218,73.77895006,73.77400794,73.76906582,73.7641237,73.75918158,73.75423946,73.74929734,73.74435523,73.73941311,73.73447099,73.72952887,73.72458675,73.71964463,73.71470251,73.70976039,73.70481827
23,74.04141615,74.03647403,74.03153191,74.0265898,74.02164768,74.01670556,74.01176344,74.00682132,74.0018792,73.99693708,73.99199496,73.98705284,73.98211073,73.97716861,73.97222649,73.96728437,73.96234225,73.95740013,73.95245801,73.94751589,73.94257377,73.93763166,73.93268954,73.92774742,73.9228053,73.91786318,73.91292106,73.90797894,73.90303682,73.89809471,73.89315259,73.88821047,73.88326835,73.87832623,73.87338411,73.86844199,73.86349987,73.85855775,73.85361564,73.84867352,73.8437314,73.83878928,73.83384716,73.82890504,73.82396292,73.8190208,73.81407869,73.80913657,73.80419445,73.79925233,73.79431021,73.78936809,73.78442597,73.77948385,73.77454173,73.76959962,73.7646575,73.75971538,73.75477326,73.74983114,73.74488902,73.7399469,73.73500478,73.73006266,73.72512055,73.72017843,73.71523631,73.71029419,73.70535207
24,74.04194995,74.03700783,74.03206571,74.02712359,74.02218147,74.01723935,74.01229723,74.00735512,74.002413,73.99747088,73.99252876,73.98758664,73.98264452,73.9777024,73.97276028,73.96781817,73.96287605,73.95793393,73.95299181,73.94804969,73.94310757,73.93816545,73.93322333,73.92828121,73.9233391,73.91839698,73.91345486,73.90851274,73.90357062,73.8986285,73.89368638,73.88874426,73.88380214,73.87886003,73.87391791,73.86897579,73.86403367,73.85909155,73.85414943,73.84920731,73.84426519,73.83932308,73.83438096,73.82943884,73.82449672,73.8195546,73.81461248,73.80967036,73.80472824,73.79978612,73.79484401,73.78990189,73.78495977,73.78001765,73.77507553,73.77013341,73.76519129,73.76024917,73.75530706,73.75036494,73.74542282,73.7404807,73.73553858,73.73059646,73.72565434,73.72071222,73.7157701,73.71082799,73.70588587
25,74.04248374,74.03754163,74.03259951,74.02765739,74.02271527,74.01777315,74.01283103,74.00788891,74.00294679,73.99800467,73.99306256,73.98812044,73.98317832,73.9782362,73.97329408,73.96835196,73.96340984,73.95846772,73.9535256,73.94858349,73.94364137,73.93869925,73.93375713,73.92881501,73.92387289,73.91893077,73.91398865,73.90904654,73.90410442,73.8991623,73.89422018,73.88927806,73.88433594,73.87939382,73.8744517,73.86950958,73.86456747,73.85962535,73.85468323,73.84974111,73.84479899,73.83985687,73.83491475,73.82997263,73.82503051,73.8200884,73.81514628,73.81020416,73.80526204,73.80031992,73.7953778,73.79043568,73.78549356,73.78055145,73.77560933,73.77066721,73.76572509,73.76078297,73.75584085,73.75089873,73.74595661,73.74101449,73.73607238,73.73113026,73.72618814,73.72124602,73.7163039,73.71136178,73.70641966
26,74.04301754,74.03807542,74.0331333,74.02819118,74.02324906,74.01830695,74.01336483,74.00842271,74.00348059,73.99853847,73.99359635,73.98865423,73.98371211,73.97876999,73.97382788,73.96888576,73.96394364,73.95900152,73.9540594,73.94911728,73.94417516,73.93923304,73.93429093,73.92934881,73.92440669,73.91946457,73.91452245,73.90958033,73.90463821,73.89969609,73.89475397,73.88981186,73.88486974,73.87992762,73.8749855,73.87004338,73.86510126,73.86015914,73.85521702,73.85027491,73.84533279,73.84039067,73.83544855,73.83050643,73.82556431,73.82062219,73.81568007,73.81073795,73.80579584,73.80085372,73.7959116,73.79096948,73.78602736,73.78108524,73.77614312,73.771201,73.76625888,73.76131677,73.75637465,73.75143253,73.74649041,73.74154829,73.73660617,73.73166405,73.72672193,73.72177982,73.7168377,73.71189558,73.70695346
27,74.04355134,74.03860922,74.0336671,74.02872498,74.02378286,74.01884074,74.01389862,74.0089565,74.00401439,73.99907227,73.99413015,73.98918803,73.98424591,73.97930379,73.97436167,73.96941955,73.96447743,73.95953532,73.9545932,73.94965108,73.94470896,73.93976684,73.93482472,73.9298826,73.92494048,73.91999836,73.91505625,73.91011413,73.90517201,73.90022989,73.89528777,73.89034565,73.88540353,73.88046141,73.8755193,73.87057718,73.86563506,73.86069294,73.85575082,73.8508087,73.84586658,73.84092446,73.83598234,73.83104023,73.82609811,73.82115599,73.81621387,73.81127175,73.80632963,73.80138751,73.79644539,73.79150328,73.78656116,73.78161904,73.77667692,73.7717348,73.76679268,73.76185056,73.75690844,73.75196632,73.74702421,73.74208209,73.73713997,73.73219785,73.72725573,73.72231361,73.71737149,73.71242937,73.70748725
28,74.04408513,74.03914301,74.03420089,74.02925878,74.02431666,74.01937454,74.01443242,74.0094903,74.00454818,73.99960606,73.99466394,73.98972182,73.98477971,73.97983759,73.97489547,73.96995335,73.96501123,73.96006911,73.95512699,73.95018487,73.94524276,73.94030064,73.93535852,73.9304164,73.92547428,73.92053216,73.91559004,73.91064792,73.9057058,73.90076369,73.89582157,73.89087945,73.88593733,73.88099521,73.87605309,73.87111097,73.86616885,73.86122673,73.85628462,73.8513425,73.84640038,73.84145826,73.83651614,73.83157402,73.8266319,73.82168978,73.81674767,73.81180555,73.80686343,73.80192131,73.79697919,73.79203707,73.78709495,73.78215283,73.77721071,73.7722686,73.76732648,73.76238436,73.75744224,73.75250012,73.747558,73.74261588,73.73767376,73.73273165,73.72778953,73.72284741,73.71790529,73.71296317,73.70802105
29,74.04461893,74.03967681,74.03473469,74.02979257,74.02485045,74.01990833,74.01496622,74.0100241,74.00508198,74.00013986,73.99519774,73.99025562,73.9853135,73.98037138,73.97542926,73.97048715,73.96554503,73.96060291,73.95566079,73.95071867,73.94577655,73.94083443,73.93589231,73.93095019,73.92600808,73.92106596,73.91612384,73.91118172,73.9062396,73.90129748,73.89635536,73.89141324,73.88647113,73.88152901,73.87658689,73.87164477,73.86670265,73.86176053,73.85681841,73.85187629,73.84693417,73.84199206,73.83704994,73.83210782,73.8271657,73.82222358,73.81728146,73.81233934,73.80739722,73.8024551,73.79751299,73.79257087,73.78762875,73.78268663,73.77774451,73.77280239,73.76786027,73.76291815,73.75797604,73.75303392,73.7480918,73.74314968,73.73820756,73.73326544,73.72832332,73.7233812,73.71843908,73.71349697,73.70855485
30,74.04515272,74.04021061,74.03526849,74.03032637,74.02538425,74.02044213,74.01550001,74.01055789,74.00561577,74.00067365,73.99573154,73.99078942,73.9858473,73.98090518,73.97596306,73.97102094,73.96607882,73.9611367,73.95619459,73.95125247,73.94631035,73.94136823,73.93642611,73.93148399,73.92654187,73.92159975,73.91665763,73.91171552,73.9067734,73.90183128,73.89688916,73.89194704,73.88700492,73.8820628,73.87712068,73.87217856,73.86723645,73.86229433,73.85735221,73.85241009,73.84746797,73.84252585,73.83758373,73.83264161,73.8276995,73.82275738,73.81781526,73.81287314,73.80793102,73.8029889,73.79804678,73.79310466,73.78816254,73.78322043,73.77827831,73.77333619,73.76839407,73.76345195,73.75850983,73.75356771,73.74862559,73.74368347,73.73874136,73.73379924,73.72885712,73.723915,73.71897288,73.71403076,73.70908864
31,74.04568652,74.0407444,74.03580228,74.03086016,74.02591804,74.02097593,74.01603381,74.01109169,74.00614957,74.00120745,73.99626533,73.99132321,73.98638109,73.98143898,73.97649686,73.97155474,73.96661262,73.9616705,73.95672838,73.95178626,73.94684414,73.94190202,73.93695991,73.93201779,73.92707567,73.92213355,73.91719143,73.91224931,73.90730719,73.90236507,73.89742295,73.89248084,73.88753872,73.8825966,73.87765448,73.87271236,73.86777024,73.86282812,73.857886,73.85294389,73.84800177,73.84305965,73.83811753,73.83317541,73.82823329,73.82329117,73.81834905,73.81340693,73.80846482,73.8035227,73.79858058,73.79363846,73.78869634,73.78375422,73.7788121,73.77386998,73.76892787,73.76398575,73.75904363,73.75410151,73.74915939,73.74421727,73.73927515,73.73433303,73.72939091,73.7244488,73.71950668,73.71456456,73.70962244
32,74.04622032,74.0412782,74.03633608,74.03139396,74.02645184,74.02150972,74.0165676,74.01162548,74.00668337,74.00174125,73.99679913,73.99185701,73.98691489,73.98197277,73.97703065,73.97208853,73.96714641,73.9622043,73.95726218,73.95232006,73.94737794,73.94243582,73.9374937,73.93255158,73.92760946,73.92266735,73.91772523,73.91278311,73.90784099,73.90289887,73.89795675,73.89301463,73.88807251,73.88313039,73.87818828,73.87324616,73.86830404,73.86336192,73.8584198,73.85347768,73.84853556,73.84359344,73.83865132,73.83370921,73.82876709,73.82382497,73.81888285,73.81394073,73.80899861,73.80405649,73.79911437,73.79417226,73.78923014,73.78428802,73.7793459,73.77440378,73.76946166,73.76451954,73.75957742,73.7546353,73.74969319,73.74475107,73.73980895,73.73486683,73.72992471,73.72498259,73.72004047,73.71509835,73.71015624
